# wavelength,transmittance
6.400000000000000000e+02,1.108356072974687068e-05
6.410000000000000000e+02,9.369405269783833256e-06
6.420000000000000000e+02,1.186643748868405623e-05
6.430000000000000000e+02,1.582309860910666993e-05
6.440000000000000000e+02,2.214156749484597324e-05
6.450000000000000000e+02,3.473936580837423384e-05
6.460000000000000000e+02,5.168772033789793390e-05
6.470000000000000000e+02,8.360283734510119214e-05
6.480000000000000000e+02,1.462917221501416865e-04
6.490000000000000000e+02,2.930737053424500057e-04
6.500000000000000000e+02,7.995334883676249354e-04
6.510000000000000000e+02,3.077507370748399154e-03
6.520000000000000000e+02,1.856192691334197439e-02
6.530000000000000000e+02,1.288502214521634603e-01
6.540000000000000000e+02,3.745932244001793365e-01
6.550000000000000000e+02,5.963311707144575147e-01
6.560000000000000000e+02,7.341670929581495253e-01
6.570000000000000000e+02,7.504578424516066271e-01
6.580000000000000000e+02,7.513282994702056294e-01
6.590000000000000000e+02,7.526982232896402003e-01
6.600000000000000000e+02,7.543719981359062743e-01
6.610000000000000000e+02,7.544524570060680002e-01
6.620000000000000000e+02,7.534692966599259023e-01
6.630000000000000000e+02,7.510757323387737827e-01
6.640000000000000000e+02,7.513122074236776582e-01
6.650000000000000000e+02,7.520513232938778048e-01
6.660000000000000000e+02,7.487433991299605740e-01
6.670000000000000000e+02,7.311158053313655536e-01
6.680000000000000000e+02,5.515675571136628985e-01
6.690000000000000000e+02,3.190098327167119607e-01
6.700000000000000000e+02,9.153254283465163399e-02
6.710000000000000000e+02,1.401752945012490342e-02
6.720000000000000000e+02,3.091774931771866519e-03
6.730000000000000000e+02,1.191191867453371368e-03
6.740000000000000000e+02,6.177091008933762589e-04
6.750000000000000000e+02,3.652321900553435899e-04
6.760000000000000000e+02,2.300445891546457999e-04
6.770000000000000000e+02,1.398809644881705589e-04
6.780000000000000000e+02,8.385104415745367489e-05
6.790000000000000000e+02,4.946508937614742832e-05
